day,time,place1,place2,place3,sun_intensity,sun_time,elec_intensity
9,0,1,0,0,0.02,0.0,0.0
9,1,1,0,0,0.0206666666666666,0.0,0.0
9,2,1,0,0,0.0213333333333333,0.0,0.0
9,3,1,0,0,0.022,0.0,0.0
9,4,1,0,0,0.0226666666666666,0.0,0.0
9,5,1,0,0,0.0233333333333333,0.0,0.0
9,6,1,0,0,0.024,0.0,0.0
9,7,1,0,0,0.0246666666666666,0.0,0.0
9,8,1,0,0,0.0253333333333333,0.0,0.0
9,9,1,0,0,0.026,0.0,0.0
9,10,1,0,0,0.0266666666666666,0.0,0.0
9,11,1,0,0,0.0273333333333333,0.0,0.0
9,12,1,0,0,0.028,0.0,0.0
9,13,1,0,0,0.0286666666666666,0.0,0.0
9,14,1,0,0,0.0293333333333333,0.0,0.0
9,15,1,0,0,0.03,0.0,0.0
9,16,1,0,0,0.0306666666666666,0.0,0.0
9,17,1,0,0,0.0313333333333333,0.0,0.0
9,18,1,0,0,0.032,0.0,0.0
9,19,1,0,0,0.0326666666666666,0.0,0.0
9,20,1,0,0,0.0333333333333333,0.0,0.0
9,21,1,0,0,0.034,0.0,0.0
9,22,1,0,0,0.0346666666666666,0.0,0.0
9,23,1,0,0,0.0353333333333333,0.0,0.0
9,24,1,0,0,0.036,0.0,0.0
9,25,1,0,0,0.0366666666666666,0.0,0.0
9,26,1,0,0,0.0373333333333333,0.0,0.0
9,27,1,0,0,0.038,0.0,0.0
9,28,1,0,0,0.0386666666666666,0.0,0.0
9,29,1,0,0,0.0393333333333333,0.0,0.0
9,30,1,0,0,0.04,0.0,0.0
9,31,1,0,0,0.0418333333333333,0.0,0.0
9,32,1,0,0,0.0436666666666666,0.0,0.0
9,33,1,0,0,0.0455,0.0,0.0
9,34,1,0,0,0.0473333333333333,0.0,0.0
9,35,1,0,0,0.0491666666666666,0.0,0.0
9,36,1,0,0,0.051,0.0,0.0
9,37,1,0,0,0.0528333333333333,0.0,0.0
9,38,1,0,0,0.0546666666666666,0.0,0.0
