day,time,place1,place2,place3,sun_intensity,sun_time,elec_intensity
0,0,0,1,0,0.0149999999999999,0.0,0.0
0,1,0,1,0,0.0154999999999999,0.0,0.0
0,2,0,1,0,0.016,0.0,0.0
0,3,0,1,0,0.0165,0.0,0.0
0,4,0,1,0,0.017,0.0,0.0
0,5,0,1,0,0.0175,0.0,0.0
0,6,0,1,0,0.018,0.0,0.0
0,7,0,1,0,0.0185,0.0,0.0
0,8,0,1,0,0.019,0.0,0.0
0,9,0,1,0,0.0195,0.0,0.0
0,10,0,1,0,0.02,0.0,0.0
0,11,0,1,0,0.0205,0.0,0.0
0,12,0,1,0,0.021,0.0,0.0
0,13,0,1,0,0.0215,0.0,0.0
0,14,0,1,0,0.022,0.0,0.0
0,15,0,1,0,0.0225,0.0,0.0
0,16,0,1,0,0.023,0.0,0.0
0,17,0,1,0,0.0235,0.0,0.0
0,18,0,1,0,0.024,0.0,0.0
0,19,0,1,0,0.0245,0.0,0.0
0,20,0,1,0,0.025,0.0,0.0
0,21,0,1,0,0.0255,0.0,0.0
0,22,0,1,0,0.026,0.0,0.0
0,23,0,1,0,0.0265,0.0,0.0
0,24,0,1,0,0.027,0.0,0.0
0,25,0,1,0,0.0275,0.0,0.0
0,26,0,1,0,0.028,0.0,0.0
0,27,0,1,0,0.0285,0.0,0.0
0,28,0,1,0,0.029,0.0,0.0
0,29,0,1,0,0.0295,0.0,0.0
0,30,0,1,0,0.0299999999999999,0.0,0.0
0,31,0,1,0,0.0318333333333333,0.0,0.0
0,32,0,1,0,0.0336666666666666,0.0,0.0
0,33,0,1,0,0.0355,0.0,0.0
0,34,0,1,0,0.0373333333333333,0.0,0.0
0,35,0,1,0,0.0391666666666666,0.0,0.0
0,36,0,1,0,0.041,0.0,0.0
0,37,0,1,0,0.0428333333333333,0.0,0.018954545454545453
0,38,0,1,0,0.0446666666666666,0.0,0.02772727272727273
0,39,0,1,0,0.0465,0.0,0.030590909090909092
0,40,0,1,0,0.0483333333333333,0.0,0.03386363636363637
0,41,0,1,0,0.0501666666666666,0.0,0.03606855439642325
0,42,0,1,0,0.052,0.0,0.03827878787878788
0,43,0,1,0,0.0538333333333333,0.0,0.03984242424242424
0,44,0,1,0,0.0556666666666666,0.0,0.04044848484848485
0,45,0,1,0,0.0575,0.0,0.04001212121212121
0,46,0,1,0,0.0593333333333333,0.0,0.037951515151515146
0,47,0,1,0,0.0611666666666666,0.0,0.0354060606060606
0,48,0,1,0,0.063,0.0,0.0337939393939394
0,49,0,1,0,0.0648333333333333,0.0,0.03318787878787879
0,50,0,1,0,0.0666666666666666,0.0,0.031757575757575755
0,51,0,1,0,0.0685,0.0,0.02913939393939394
0,52,0,1,0,0.0703333333333333,0.0,0.02703030303030303
0,53,0,1,0,0.0721666666666666,0.0,0.026678787878787875
0,54,0,1,0,0.074,0.0,0.02726060606060606
0,55,0,1,0,0.0758333333333333,0.0,0.02812121212121212
0,56,0,1,0,0.0776666666666666,0.0,0.029030303030303028
0,57,0,1,0,0.0795,0.0,0.030072727272727275
0,58,0,1,0,0.0813333333333333,0.0,0.029970193740685543
0,59,0,1,0,0.0831666666666666,0.0,0.02695151515151515
0,60,0,1,0,0.0849999999999999,0.0,0.024254545454545456
0,61,0,1,0,0.0868333333333333,0.0,0.01620909090909091
0,62,0,1,0,0.0886666666666666,0.0,0.0037606060606060606
0,63,0,1,0,0.0905,0.0,0.0
0,64,0,1,0,0.0923333333333333,0.0,0.0
