2022/2/1 7,0.0,0.01
2022/2/1 8,0.7,0.28
2022/2/1 9,1.0,0.88
2022/2/1 10,1.0,1.41
2022/2/1 11,0.4,1.39
2022/2/1 12,0.5,1.52
2022/2/1 13,0.1,1.05
2022/2/1 14,0.1,0.89
2022/2/1 15,0.2,0.67
2022/2/1 16,0.1,0.29
2022/2/1 17,0.0,0.06
2022/2/1 18,0.0,0.0
2022/2/2 7,0.0,0.0
2022/2/2 8,0.0,0.12
2022/2/2 9,0.7,0.8
2022/2/2 10,0.1,0.62
2022/2/2 11,0.7,1.55
2022/2/2 12,0.8,1.67
2022/2/2 13,0.7,1.6
2022/2/2 14,0.5,1.32
2022/2/2 15,0.5,0.81
2022/2/2 16,0.0,0.24
2022/2/2 17,0.0,0.06
2022/2/2 18,0.0,0.0
2022/2/3 7,0.0,0.01
2022/2/3 8,0.5,0.25
2022/2/3 9,1.0,0.85
2022/2/3 10,0.9,1.24
2022/2/3 11,0.8,1.65
2022/2/3 12,0.9,1.79
2022/2/3 13,1.0,2.22
2022/2/3 14,0.7,1.53
2022/2/3 15,1.0,1.18
2022/2/3 16,1.0,0.67
2022/2/3 17,0.2,0.09
2022/2/3 18,0.0,0.0
2022/2/4 7,0.0,0.0
2022/2/4 8,0.0,0.15
2022/2/4 9,0.1,0.39
2022/2/4 10,0.5,0.81
2022/2/4 11,0.3,0.84
2022/2/4 12,0.8,1.79
2022/2/4 13,1.0,2.35
2022/2/4 14,0.6,1.09
2022/2/4 15,0.4,0.67
2022/2/4 16,0.2,0.33
2022/2/4 17,0.0,0.06
2022/2/4 18,0.0,0.0
2022/2/5 7,0.0,0.01
2022/2/5 8,0.9,0.33
2022/2/5 9,1.0,0.95
2022/2/5 10,1.0,1.47
2022/2/5 11,1.0,1.77
2022/2/5 12,1.0,2.0
2022/2/5 13,0.8,1.7
2022/2/5 14,0.2,1.06
2022/2/5 15,0.0,0.27
2022/2/5 16,0.0,0.12
2022/2/5 17,0.0,0.02
2022/2/5 18,0.0,0.0
2022/2/6 7,0.0,0.0
2022/2/6 8,0.0,0.04
2022/2/6 9,0.0,0.31
2022/2/6 10,0.0,0.14
2022/2/6 11,0.0,0.13
2022/2/6 12,0.0,0.19
2022/2/6 13,0.0,0.6
2022/2/6 14,0.4,1.56
2022/2/6 15,0.7,1.42
2022/2/6 16,0.6,0.52
2022/2/6 17,0.3,0.13
2022/2/6 18,0.0,0.0
2022/2/7 7,0.0,0.01
2022/2/7 8,0.6,0.3
2022/2/7 9,1.0,0.98
2022/2/7 10,1.0,1.54
2022/2/7 11,1.0,1.91
2022/2/7 12,1.0,2.11
2022/2/7 13,0.5,1.36
2022/2/7 14,0.3,1.09
2022/2/7 15,0.1,0.56
2022/2/7 16,0.1,0.26
2022/2/7 17,0.0,0.07
2022/2/7 18,0.0,0.0
2022/2/8 7,0.0,0.01
2022/2/8 8,0.1,0.19
2022/2/8 9,0.5,0.64
2022/2/8 10,0.8,1.24
2022/2/8 11,0.2,1.25
2022/2/8 12,0.0,0.86
2022/2/8 13,0.0,0.78
2022/2/8 14,0.0,0.75
2022/2/8 15,0.0,0.55
2022/2/8 16,0.0,0.31
2022/2/8 17,0.0,0.11
2022/2/8 18,0.0,0.0
2022/2/9 7,0.0,0.01
2022/2/9 8,0.8,0.32
2022/2/9 9,0.3,0.56
2022/2/9 10,0.3,0.71
2022/2/9 11,0.0,0.9
2022/2/9 12,0.4,1.37
2022/2/9 13,0.6,1.46
2022/2/9 14,0.4,1.46
2022/2/9 15,0.2,0.95
2022/2/9 16,1.0,0.91
2022/2/9 17,0.1,0.18
2022/2/9 18,0.0,0.0
2022/2/10 7,0.0,0.01
2022/2/10 8,0.6,0.31
2022/2/10 9,0.6,0.78
2022/2/10 10,1.0,1.54
2022/2/10 11,1.0,1.89
2022/2/10 12,1.0,2.04
2022/2/10 13,1.0,2.0
2022/2/10 14,1.0,1.74
2022/2/10 15,0.9,1.24
2022/2/10 16,0.6,0.58
2022/2/10 17,0.3,0.13
2022/2/10 18,0.0,0.0
2022/2/11 7,0.0,0.01
2022/2/11 8,1.0,0.31
2022/2/11 9,1.0,0.98
2022/2/11 10,1.0,1.53
2022/2/11 11,1.0,1.91
2022/2/11 12,1.0,2.07
2022/2/11 13,1.0,2.04
2022/2/11 14,1.0,1.77
2022/2/11 15,1.0,1.32
2022/2/11 16,1.0,0.74
2022/2/11 17,0.2,0.13
2022/2/11 18,0.0,0.0
2022/2/12 7,0.0,0.01
2022/2/12 8,0.1,0.26
2022/2/12 9,1.0,0.88
2022/2/12 10,1.0,1.47
2022/2/12 11,1.0,1.79
2022/2/12 12,1.0,1.95
2022/2/12 13,1.0,1.97
2022/2/12 14,1.0,1.65
2022/2/12 15,1.0,1.23
2022/2/12 16,0.4,0.47
2022/2/12 17,0.0,0.11
2022/2/12 18,0.0,0.0
2022/2/13 7,0.0,0.02
2022/2/13 8,0.2,0.19
2022/2/13 9,0.6,0.78
2022/2/13 10,1.0,1.57
2022/2/13 11,1.0,1.95
2022/2/13 12,1.0,2.21
2022/2/13 13,0.7,1.82
2022/2/13 14,0.8,1.46
2022/2/13 15,0.7,1.15
2022/2/13 16,1.0,0.84
2022/2/13 17,0.1,0.17
2022/2/13 18,0.0,0.0
2022/2/14 7,0.0,0.01
2022/2/14 8,0.0,0.12
2022/2/14 9,0.0,0.36
2022/2/14 10,0.0,0.63
2022/2/14 11,0.1,1.02
2022/2/14 12,0.7,1.68
2022/2/14 13,1.0,2.07
2022/2/14 14,1.0,1.79
2022/2/14 15,1.0,1.32
2022/2/14 16,0.9,0.71
2022/2/14 17,0.4,0.17
2022/2/14 18,0.0,0.0
2022/2/15 7,0.0,0.02
2022/2/15 8,0.0,0.26
2022/2/15 9,0.6,0.8
2022/2/15 10,0.4,1.08
2022/2/15 11,1.0,1.64
2022/2/15 12,0.3,1.34
2022/2/15 13,0.7,1.9
2022/2/15 14,0.5,1.2
2022/2/15 15,0.4,0.92
2022/2/15 16,0.0,0.49
2022/2/15 17,0.0,0.12
2022/2/15 18,0.0,0.0
2022/2/16 7,0.0,0.02
