0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0.01,0.01,0.01,0.01,0.02
0.03,0.09,0.05,0.08,0.07,0.05,0.1,0.04,0.14,0.03,0.11,0.13,0.02,0.11,0.09,0.03,0.08,0.07,0.03,0.17,0.18,0.25,0.09,0.13,0.17,0.22,0.23,0.35,0.02,0.31,0.37,0.32,0.26,0.43
0.14,0.53,0.34,0.43,0.34,0.26,0.33,0.69,0.71,0.16,0.76,0.44,0.05,0.45,0.54,0.37,0.29,0.42,0.09,0.46,0.3,1.01,0.26,0.64,0.83,0.45,0.79,1.06,0.08,0.71,1.08,0.61,0.89,1.11
0.12,1.01,1.17,0.78,0.44,0.58,1.03,1.01,1.37,0.79,1.44,1.08,0.09,0.83,0.93,0.8,0.96,0.77,0.16,0.86,0.88,1.72,0.15,1.67,1.72,0.59,1.09,1.81,0.27,1.2,1.84,1.04,1.6,1.95
0.16,1.13,1.82,1.63,1.19,0.78,0.72,1.35,1.93,1.68,1.85,1.99,0.49,1.37,0.77,0.92,1.21,1.2,0.2,0.94,1.39,2.32,0.42,2.22,2.11,1.44,2.36,2.33,0.18,2.13,2.42,1.42,2.23,2.38
0.46,1.74,2.09,1.64,2.2,1.09,1.19,0.93,2.37,1.62,1.57,1.86,0.56,2.46,1.53,0.46,1.76,2.46,0.31,1.68,2.44,2.09,0.37,2.81,2.45,2.52,2.74,2.59,0.15,2.52,2.77,0.93,2.66,2.92
0.86,1.1,2.24,2.3,2.43,1.4,1.4,0.56,2.62,2.02,1.36,1.63,0.76,2.61,1.65,0.83,1.64,2.21,0.38,1.5,2.87,2.64,0.87,3,2.83,2.41,2.89,2.93,0.24,2.91,2.89,0.78,2.8,2.98
1.39,1.78,2.09,1.87,1.18,1.43,1.39,0.69,2.45,1.79,2.21,1.66,0.52,2.49,1.84,0.67,1.22,2.74,0.5,1.11,2.51,2.72,1.02,2.46,2.7,2.51,2.77,2.53,0.24,2.84,2.76,0.61,2.7,2.89
0.69,1.46,1.55,1.66,0.54,1.08,0.83,0.8,1.9,0.94,0.8,2.05,0.28,2.11,1.94,0.81,0.75,2.23,0.45,1.17,2.2,2.31,0.76,1.91,2.31,2.17,2.41,2.24,0.12,2.44,2.34,0.62,2.23,2.5
0.23,0.9,0.79,1.34,0.38,0.57,0.45,1.04,1.19,0.49,1.09,1.49,0.22,1.53,1.47,0.49,0.53,1.58,0.3,0.97,1.76,1.7,0.56,1.53,1.73,1.71,1.83,1.7,0.17,1.87,1.8,0.72,1.69,1.9
0.43,0.41,0.31,0.33,0.2,0.38,0.2,0.39,0.83,0.37,0.77,0.82,0.19,0.83,0.73,0.24,0.22,0.9,0.2,0.51,0.52,1.04,0.4,1,1.03,0.97,1.11,0.9,0.25,1.12,1.08,0.63,0.97,1.15
0.07,0.05,0.05,0.09,0.05,0.03,0.02,0.06,0.1,0.05,0.19,0.2,0.02,0.2,0.16,0.06,0.08,0.19,0.03,0.13,0.2,0.26,0.14,0.33,0.32,0.32,0.36,0.12,0.12,0.35,0.36,0.3,0.36,0.41
