2022/2/14 15,0.8,1.21
2022/2/14 16,0.7,0.82
2022/2/14 17,0.6,0.34
2022/2/14 18,0.1,0.02
2022/2/15 7,0.0,0.03
2022/2/15 8,0.5,0.43
2022/2/15 9,0.9,1.18
2022/2/15 10,0.4,1.21
2022/2/15 11,0.0,0.7
2022/2/15 12,0.2,1.25
2022/2/15 13,0.1,1.31
2022/2/15 14,0.8,1.99
2022/2/15 15,1.0,1.66
2022/2/15 16,1.0,0.97
2022/2/15 17,0.4,0.25
2022/2/15 18,0.0,0.01
2022/2/16 7,0.0,0.03
2022/2/16 8,0.6,0.45
2022/2/16 9,1.0,1.27
2022/2/16 10,1.0,1.89
2022/2/16 11,1.0,2.25
2022/2/16 12,0.9,2.49
2022/2/16 13,0.9,2.5
2022/2/16 14,0.3,1.2
2022/2/16 15,0.0,0.33
2022/2/16 16,0.0,0.15
2022/2/16 17,0.0,0.1
2022/2/16 18,0.1,0.02
2022/2/17 7,0.0,0.05
2022/2/17 8,0.8,0.58
2022/2/17 9,1.0,1.35
2022/2/17 10,1.0,1.97
2022/2/17 11,1.0,2.43
2022/2/17 12,1.0,2.68
2022/2/17 13,1.0,2.45
2022/2/17 14,1.0,2.16
2022/2/17 15,0.6,1.19
2022/2/17 16,0.9,1.11
2022/2/17 17,0.4,0.28
2022/2/17 18,0.1,0.02
2022/2/18 7,0.0,0.03
2022/2/18 8,0.8,0.59
2022/2/18 9,1.0,1.35
2022/2/18 10,1.0,1.97
2022/2/18 11,1.0,2.41
2022/2/18 12,1.0,2.64
2022/2/18 13,1.0,2.63
2022/2/18 14,1.0,2.36
2022/2/18 15,1.0,1.88
2022/2/18 16,1.0,1.24
2022/2/18 17,1.0,0.5
2022/2/18 18,0.2,0.03
2022/2/19 7,0.0,0.04
2022/2/19 8,0.0,0.23
2022/2/19 9,0.0,0.59
2022/2/19 10,0.0,0.67
2022/2/19 11,0.1,1.08
2022/2/19 12,0.6,1.85
2022/2/19 13,0.1,1.17
2022/2/19 14,0.2,1.0
2022/2/19 15,0.0,0.54
2022/2/19 16,0.0,0.2
2022/2/19 17,0.0,0.1
2022/2/19 18,0.0,0.02
2022/2/20 7,0.0,0.0
2022/2/20 8,0.0,0.09
2022/2/20 9,0.0,0.29
2022/2/20 10,0.0,0.28
2022/2/20 11,0.0,0.48
2022/2/20 12,0.0,1.1
2022/2/20 13,0.2,1.32
2022/2/20 14,0.0,0.49
2022/2/20 15,0.0,0.41
2022/2/20 16,0.0,0.17
2022/2/20 17,0.0,0.11
2022/2/20 18,0.0,0.01
2022/2/21 7,0.0,0.04
2022/2/21 8,0.9,0.67
2022/2/21 9,1.0,1.44
2022/2/21 10,1.0,2.05
2022/2/21 11,1.0,2.49
2022/2/21 12,1.0,2.72
2022/2/21 13,0.7,2.02
2022/2/21 14,0.7,1.68
2022/2/21 15,1.0,1.84
2022/2/21 16,1.0,1.27
2022/2/21 17,1.0,0.54
2022/2/21 18,0.2,0.04
2022/2/22 7,0.1,0.06
2022/2/22 8,0.9,0.65
2022/2/22 9,1.0,1.4
2022/2/22 10,1.0,2.02
2022/2/22 11,1.0,2.47
2022/2/22 12,1.0,2.68
2022/2/22 13,1.0,2.65
2022/2/22 14,1.0,2.37
2022/2/22 15,1.0,1.88
2022/2/22 16,1.0,1.24
2022/2/22 17,0.8,0.49
2022/2/22 18,0.2,0.05
2022/2/23 7,0.2,0.07
2022/2/23 8,0.9,0.68
2022/2/23 9,1.0,1.43
2022/2/23 10,1.0,2.06
2022/2/23 11,1.0,2.52
2022/2/23 12,1.0,2.74
2022/2/23 13,1.0,2.7
2022/2/23 14,1.0,2.43
2022/2/23 15,0.4,1.22
2022/2/23 16,0.9,1.28
2022/2/23 17,0.5,0.4
2022/2/23 18,0.0,0.02
2022/2/24 7,0.0,0.03
2022/2/24 8,0.3,0.44
2022/2/24 9,0.9,1.33
2022/2/24 10,0.7,1.71
2022/2/24 11,1.0,2.52
2022/2/24 12,1.0,2.8
2022/2/24 13,1.0,2.8
2022/2/24 14,1.0,2.52
2022/2/24 15,1.0,2.02
2022/2/24 16,1.0,1.35
